"covariate","importance","rank"
"iq",0.177137513775214,1
"kww",0.154927013688278,2
"feducation",0.132155973753386,3
"meducation",0.130844909531147,4
"age",0.115191517784013,5
"education66",0.0689152094057675,6
"experience",0.0577530421702336,7
"experience_sq",0.0447842137989519,8
"smsa66",0.0303775996598651,9
"south66",0.0257829593674799,10
"smsa",0.0157053423693125,11
"south",0.01439411878665,12
"enrolled",0.0120529593148349,13
"married",0.0118610981635707,14
"ethnicity_afam",0.0081165284312964,15
