"sample_id","candidate","effect_hat","effect_se","effect_low","effect_high","subgroup","rule","terminal_node"
"nhefs_441","analysis_target",4.01208105135828,1.36204878023935,1.34246544208916,6.68169666062741,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_414","analysis_target",4.26230243290404,0.939003760258435,2.4218550627975,6.10274980301057,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_131","analysis_target",3.72431185440599,1.0440402410459,1.67799298195603,5.77063072685594,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_454","analysis_target",3.25478735087033,0.906600485177458,1.47785039992251,5.03172430181815,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_307","analysis_target",3.7931221820709,0.927188229223449,1.97583325279294,5.61041111134886,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_616","analysis_target",3.21805229011363,1.2911307892186,0.687435943245174,5.74866863698209,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_333","analysis_target",4.03153681633337,1.28930642832264,1.504496216821,6.55857741584575,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_222","analysis_target",3.62447812597202,1.02913073711921,1.60738188121836,5.64157437072567,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_185","analysis_target",3.46200476396165,0.829612732323877,1.83596380860686,5.08804571931645,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_459","analysis_target",4.04628742442371,1.32077594602236,1.45756657021988,6.63500827862754,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_63","analysis_target",4.39570425855348,0.963449002518847,2.50734421361654,6.28406430349042,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_1046","analysis_target",4.08933992541951,0.845115805349953,2.4329129469336,5.74576690390542,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_278","analysis_target",2.68637201634216,1.66466721344854,-0.576375722016981,5.9491197547013,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_804","analysis_target",3.5879342633337,0.737931653935412,2.14158822162029,5.03428030504711,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_142","analysis_target",2.4666062005086,1.21066144311107,0.0937097720108917,4.8395026290063,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_395","analysis_target",3.67220133547359,1.70972214552889,0.321145930236961,7.02325674071021,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_238","analysis_target",4.23186348587104,0.49364095550696,3.2643272130774,5.19939975866469,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_211","analysis_target",3.03556008747017,0.663539327335847,1.73502300589191,4.33609716904843,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_91","analysis_target",3.0333292433027,0.872871366649178,1.32250136467031,4.74415712193509,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_156","analysis_target",3.82473835517733,1.22109209786254,1.43139784336676,6.2180788669879,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_683","analysis_target",4.1502175548552,0.74976416616324,2.68067978917525,5.61975532053516,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_383","analysis_target",3.69527605826103,1.15953266825677,1.42259202847776,5.96796008804431,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_587","analysis_target",3.83396046161713,1.24301811768837,1.39764495094794,6.27027597228633,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_464","analysis_target",2.9764958452732,1.23427522161703,0.557316410903832,5.39567527964257,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_252","analysis_target",3.61869305072818,1.37346134045209,0.926708823442086,6.31067727801427,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_1072","analysis_target",4.03606999591603,0.614206687230858,2.83222488894354,5.23991510288851,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_427","analysis_target",3.90086556673603,1.01163145043225,1.91806792388882,5.88366320958323,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_268","analysis_target",3.47960044953019,0.94713749270166,1.62321096383494,5.33598993522545,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_99","analysis_target",3.07354003245701,1.05594586549473,1.00388613608734,5.14319392882668,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_394","analysis_target",3.75052616073185,0.746210876890108,2.28795284202723,5.21309947943646,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_32","analysis_target",3.14198365049247,1.44434432895262,0.311068765745341,5.97289853523961,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_665","analysis_target",2.86759284782967,0.866177592428639,1.16988476666954,4.5653009289898,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_90","analysis_target",3.95073180389664,1.55067169631379,0.911415279121616,6.99004832867167,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
"nhefs_182","analysis_target",2.78970298792468,1.22619098223558,0.386368662742937,5.19303731310642,"G1","wt71< 93.95 & wt71>=71.27 & wt71< 86.35",8
