"covariate","importance","rank"
"wt71",0.452978658778364,1
"smokeyrs",0.172766179330777,2
"age",0.113489489423511,3
"smokeintensity",0.0739670957839366,4
"income",0.0584566801679323,5
"education2",0.0316244534254365,6
"active1",0.0210348063642028,7
"active2",0.0188276865232027,8
"exercise2",0.0168851470166569,9
"education3",0.0129604005873255,10
"exercise1",0.00700705824614312,11
"education5",0.00593121384565341,12
"education4",0.00579135380533041,13
"sex1",0.00400874446822651,14
"sex0",0.00278664787564786,15
"race1",0.00148438435765354,16
