"sample_id","candidate","effect_hat","effect_se","effect_low","effect_high","subgroup","rule","terminal_node"
"nsw_181","analysis_target",1487.81014354293,2135.55950060123,-2697.88647763549,5673.50676472134,"G4","age>=24.5 & educ>=10.5",7
"nsw_59","analysis_target",3215.16446408313,1438.13286820472,396.424042401876,6033.90488576438,"G4","age>=24.5 & educ>=10.5",7
"nsw_267","analysis_target",2995.32202663903,1190.60201778102,661.742071788231,5328.90198148983,"G4","age>=24.5 & educ>=10.5",7
"nsw_103","analysis_target",2437.06648951234,1060.12245740519,359.226472998169,4514.90650602651,"G4","age>=24.5 & educ>=10.5",7
"nsw_55","analysis_target",3261.81877252411,1606.91995202053,112.255666563869,6411.38187848434,"G4","age>=24.5 & educ>=10.5",7
"nsw_19","analysis_target",3660.37081493374,1295.9156883583,1120.37606575147,6200.36556411601,"G4","age>=24.5 & educ>=10.5",7
"nsw_84","analysis_target",4000.46819728864,1172.34394287395,1702.6740692557,6298.26232532159,"G4","age>=24.5 & educ>=10.5",7
"nsw_86","analysis_target",3661.01511667464,1879.76609588612,-23.3264312621482,7345.35666461143,"G4","age>=24.5 & educ>=10.5",7
"nsw_372","analysis_target",3610.38364308717,1202.71678451396,1253.0587454398,5967.70854073453,"G4","age>=24.5 & educ>=10.5",7
"nsw_371","analysis_target",2417.96248958391,782.521634836931,884.220085303526,3951.7048938643,"G4","age>=24.5 & educ>=10.5",7
"nsw_145","analysis_target",3514.67887292387,794.486277419079,1957.48576918248,5071.87197666527,"G4","age>=24.5 & educ>=10.5",7
"nsw_265","analysis_target",3021.05846192134,2054.58699997937,-1005.93205803824,7048.04898188091,"G4","age>=24.5 & educ>=10.5",7
"nsw_213","analysis_target",3643.98139531298,838.382735898895,2000.75123295115,5287.21155767481,"G4","age>=24.5 & educ>=10.5",7
"nsw_1","analysis_target",3015.35337291378,1606.74459029548,-133.866024065375,6164.57276989293,"G4","age>=24.5 & educ>=10.5",7
"nsw_283","analysis_target",2312.64289767242,1415.31793877406,-461.380262324739,5086.66605766958,"G4","age>=24.5 & educ>=10.5",7
"nsw_133","analysis_target",3067.74094612037,2973.17124497836,-2759.67469403721,8895.15658627795,"G4","age>=24.5 & educ>=10.5",7
"nsw_419","analysis_target",3369.77204400252,1525.57670379485,379.641704564609,6359.90238344042,"G4","age>=24.5 & educ>=10.5",7
"nsw_17","analysis_target",3849.77237681102,1465.26078540715,977.861237413009,6721.68351620903,"G4","age>=24.5 & educ>=10.5",7
"nsw_139","analysis_target",2648.41304659101,1546.84507700486,-383.403304338502,5680.22939752053,"G4","age>=24.5 & educ>=10.5",7
"nsw_260","analysis_target",2040.2266360281,1239.26345555483,-388.72973685936,4469.18300891556,"G4","age>=24.5 & educ>=10.5",7
"nsw_46","analysis_target",2744.86736348975,1492.92982433047,-181.275092197972,5671.00981917747,"G4","age>=24.5 & educ>=10.5",7
"nsw_22","analysis_target",3402.02053255859,733.493021696732,1964.37421003299,4839.66685508418,"G4","age>=24.5 & educ>=10.5",7
"nsw_304","analysis_target",3591.20556892434,1265.33138736506,1111.15604968883,6071.25508815985,"G4","age>=24.5 & educ>=10.5",7
"nsw_413","analysis_target",1636.20116208266,1872.84481254449,-2034.57467050453,5306.97699466985,"G4","age>=24.5 & educ>=10.5",7
"nsw_428","analysis_target",1705.99858077929,2127.16857613506,-2463.25182844543,5875.24899000402,"G4","age>=24.5 & educ>=10.5",7
"nsw_226","analysis_target",3161.97928402829,1812.93039708624,-391.364294260735,6715.32286231731,"G4","age>=24.5 & educ>=10.5",7
"nsw_93","analysis_target",2926.98116240315,1696.7484805807,-398.645859535011,6252.60818434131,"G4","age>=24.5 & educ>=10.5",7
