"sample_id","candidate","effect_hat","effect_se","effect_low","effect_high","subgroup","rule","terminal_node"
"veteran_1","analysis_target",-0.592826502356443,0.329999480722101,-1.23962548457176,0.0539724798588757,"G1","diagtime>=4.5 & karno< 55",4
"veteran_2","analysis_target",-0.398049822483619,0.480848068723905,-1.34051203718247,0.544412392215236,"G1","diagtime>=4.5 & karno< 55",4
"veteran_56","analysis_target",-0.497320566359445,0.28033431823342,-1.04677583009695,0.0521346973780577,"G1","diagtime>=4.5 & karno< 55",4
"veteran_4","analysis_target",-0.469001883172724,0.201439609621693,-0.863823518031241,-0.0741802483142061,"G1","diagtime>=4.5 & karno< 55",4
"veteran_5","analysis_target",-0.482875071965186,0.474417589124147,-1.41273354664851,0.446983402718143,"G1","diagtime>=4.5 & karno< 55",4
"veteran_86","analysis_target",-0.386467800947516,0.37853326451223,-1.12839299939149,0.355457397496455,"G1","diagtime>=4.5 & karno< 55",4
"veteran_47","analysis_target",-0.58275858223279,0.324831325634285,-1.21942798047599,0.0539108160104076,"G1","diagtime>=4.5 & karno< 55",4
"veteran_8","analysis_target",-0.598175374187688,0.453090816733817,-1.48623337498597,0.289882626610593,"G1","diagtime>=4.5 & karno< 55",4
"veteran_129","analysis_target",-0.561301427996484,0.428647676822545,-1.40145087456867,0.278848018575703,"G1","diagtime>=4.5 & karno< 55",4
"veteran_10","analysis_target",-0.434588914934539,0.453450604197626,-1.32335209916189,0.454174269292808,"G1","diagtime>=4.5 & karno< 55",4
"veteran_91","analysis_target",-0.658249604789953,0.500338510648731,-1.63891308566147,0.322413876081561,"G1","diagtime>=4.5 & karno< 55",4
"veteran_52","analysis_target",-0.516869408347503,0.480530918186868,-1.45871000799376,0.424971191298759,"G1","diagtime>=4.5 & karno< 55",4
"veteran_66","analysis_target",-0.659996708994833,0.36516519060343,-1.37572048257756,0.0557270645878901,"G1","diagtime>=4.5 & karno< 55",4
"veteran_14","analysis_target",-0.371709852426577,0.292689147315215,-0.945380581164399,0.201960876311245,"G1","diagtime>=4.5 & karno< 55",4
"veteran_15","analysis_target",-0.637790952243947,0.402106303106192,-1.42591930633208,0.150337401844189,"G1","diagtime>=4.5 & karno< 55",4
"veteran_29","analysis_target",-0.585142740085677,0.452158496102217,-1.47137339244602,0.301087912274669,"G1","diagtime>=4.5 & karno< 55",4
